City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Taoudenni,ML,2022-05-11 21:53:54,22.6783,-3.9836,93.72,7,0,11.01
67,Yellowknife,CA,2022-05-11 21:53:55,62.456,-114.3525,39.72,65,75,4.61
68,Tessalit,ML,2022-05-11 21:53:55,20.1986,1.0114,86.9,7,0,10.13
69,Provideniya,RU,2022-05-11 21:53:56,64.3833,-173.3,39.36,75,75,13.42
70,Kieta,PG,2022-05-11 21:53:57,-6.2167,155.6333,82.78,71,90,3.49
71,Castro,BR,2022-05-11 21:53:58,-24.7911,-50.0119,59.04,82,52,4.14
72,Busselton,AU,2022-05-11 21:53:58,-33.65,115.3333,55.56,91,100,16.62
73,Along,IN,2022-05-11 21:53:59,28.1667,94.7667,69.24,95,94,0.85
74,Peleduy,RU,2022-05-11 21:53:59,59.6289,112.7406,39.45,91,51,2.3
75,Hobart,AU,2022-05-11 21:49:35,-42.8794,147.3294,50.05,92,0,5.75
76,Jiaozhou,CN,2022-05-11 21:54:00,36.2839,120.0033,53.56,83,7,1.19
77,Nuuk,GL,2022-05-11 21:50:27,64.1835,-51.7216,32.88,89,100,13.0
78,Atuona,PF,2022-05-11 21:54:01,-9.8,-139.0333,78.67,73,0,18.72
79,Kodiak,US,2022-05-11 21:53:01,57.79,-152.4072,46.29,50,68,6.26
80,La Libertad,EC,2022-05-11 21:54:02,-2.2333,-80.9,76.66,83,20,11.5
81,Bluff,NZ,2022-05-11 21:54:03,-46.6,168.3333,51.8,78,23,13.87
82,Airai,TL,2022-05-11 21:54:03,-8.9266,125.4092,59.0,89,91,0.89
83,Arraial Do Cabo,BR,2022-05-11 21:54:04,-22.9661,-42.0278,73.26,88,0,5.75
84,Somerset East,ZA,2022-05-11 21:54:04,-32.7217,25.588,50.65,79,0,4.79
85,Payo,ID,2022-05-11 21:54:05,-3.7508,103.6372,73.87,99,99,1.14
86,Ambon,ID,2022-05-11 21:54:05,-3.6954,128.1814,77.14,94,40,2.3
87,Arrecife,ES,2022-05-11 21:54:06,28.963,-13.5477,69.78,78,20,2.3
88,Mapiripan,CO,2022-05-11 21:54:07,2.8892,-72.1256,80.4,85,86,1.7
89,Asau,RO,2022-05-11 21:55:08,46.4333,26.4,52.72,100,70,5.91
90,Georgetown,MY,2022-05-11 21:51:15,5.4112,100.3354,82.33,93,40,3.44
91,Grand Gaube,MU,2022-05-11 21:55:09,-20.0064,57.6608,75.6,88,18,8.41
92,Port Alfred,ZA,2022-05-11 21:55:09,-33.5906,26.891,60.84,78,0,8.59
93,Teguldet,RU,2022-05-11 21:55:10,57.3064,88.1667,37.6,60,8,5.01
94,Riyadh,SA,2022-05-11 21:51:11,24.6877,46.7219,86.14,16,0,15.37
95,Punta Arenas,CL,2022-05-11 21:55:11,-53.15,-70.9167,46.51,76,0,3.44
96,Imbituba,BR,2022-05-11 21:54:46,-28.24,-48.6703,68.86,89,20,5.01
97,Vao,NC,2022-05-11 21:55:12,-22.6667,167.4833,73.4,61,100,28.14
98,Yelizovo,RU,2022-05-11 21:55:12,53.1873,158.3805,50.14,50,75,4.47
99,Mutis,CO,2022-05-11 21:55:13,6.2262,-77.4044,81.55,79,55,3.98
100,Takestan,IR,2022-05-11 21:55:14,36.0696,49.6959,57.02,42,0,9.22
101,Port Augusta,AU,2022-05-11 21:55:14,-32.5,137.7667,56.28,85,4,3.85
102,Nome,US,2022-05-11 21:55:15,64.5011,-165.4064,40.15,82,100,8.99
103,Pouembout,NC,2022-05-11 21:55:15,-21.1333,164.9,73.67,73,100,7.25
104,Carnarvon,AU,2022-05-11 21:55:16,-24.8667,113.6333,68.07,88,75,5.75
105,Jamestown,US,2022-05-11 21:53:35,42.097,-79.2353,76.64,27,0,8.05
106,Saint George,US,2022-05-11 21:52:09,37.1041,-113.5841,74.62,8,0,25.32
107,Rosario,AR,2022-05-11 21:55:17,-32.9468,-60.6393,63.95,62,0,5.75
108,Pevek,RU,2022-05-11 21:55:18,69.7008,170.3133,27.12,95,100,10.13
109,Vardo,NO,2022-05-11 21:55:18,70.3705,31.1107,39.18,100,100,3.44
110,Avarua,CK,2022-05-11 21:51:18,-21.2078,-159.775,84.25,74,75,11.5
111,Leningradskiy,RU,2022-05-11 21:55:19,69.3833,178.4167,29.08,89,100,5.39
112,Toora-Khem,RU,2022-05-11 21:55:20,52.4675,96.11,28.11,65,0,2.51
113,Hithadhoo,MV,2022-05-11 21:55:20,-0.6,73.0833,83.14,76,95,15.52
114,Maceio,BR,2022-05-11 21:52:33,-9.6658,-35.7353,74.64,94,75,6.91
115,Ponta Do Sol,PT,2022-05-11 21:55:21,32.6667,-17.1,69.01,82,23,4.07
116,Kahului,US,2022-05-11 21:55:22,20.8947,-156.47,82.98,74,69,18.99
117,Flin Flon,CA,2022-05-11 21:55:22,54.7682,-101.865,57.04,33,20,4.61
118,Itoigawa,JP,2022-05-11 21:55:23,37.0333,137.85,66.87,74,100,2.51
119,Lata,PT,2022-05-11 21:55:24,40.1629,-8.3327,55.51,84,100,2.77
120,Kirakira,SB,2022-05-11 21:55:24,-10.4544,161.9205,82.27,80,100,4.23
121,Fallon,US,2022-05-11 21:55:25,39.4735,-118.7774,56.91,24,75,11.5
122,Hibbing,US,2022-05-11 21:55:25,47.4272,-92.9377,67.42,11,99,9.08
123,Bijie,CN,2022-05-11 21:55:26,27.3125,105.2942,55.83,94,100,2.24
124,Bud,US,2022-05-11 21:55:27,39.447,-86.1758,88.93,57,83,6.24
125,Maniitsoq,GL,2022-05-11 21:55:27,65.4167,-52.9,34.0,64,100,8.23
126,Bethel,US,2022-05-11 21:55:28,41.3712,-73.414,77.36,50,36,1.99
127,Kaitangata,NZ,2022-05-11 21:55:28,-46.2817,169.8464,48.65,74,7,7.94
128,Port Lincoln,AU,2022-05-11 21:55:29,-34.7333,135.8667,58.5,83,19,4.88
129,The Pas,CA,2022-05-11 21:55:30,53.8251,-101.2541,62.62,31,0,14.97
130,Kavieng,PG,2022-05-11 21:55:30,-2.5744,150.7967,83.61,75,100,12.3
131,Tautira,PF,2022-05-11 21:55:31,-17.7333,-149.15,80.83,79,21,17.2
132,Marsa Matruh,EG,2022-05-11 21:55:31,31.3525,27.2453,64.6,82,0,4.61
133,Odweyne,SO,2022-05-11 21:55:32,9.4092,45.064,78.48,34,28,5.99
134,Moerai,PF,2022-05-11 21:56:32,-22.4333,-151.3333,80.29,75,99,16.44
135,Mayo,US,2022-05-11 21:56:33,38.8876,-76.5119,69.96,75,100,5.75
136,Umm Lajj,SA,2022-05-11 21:56:34,25.0213,37.2685,81.43,40,0,5.66
137,Fort Nelson,CA,2022-05-11 21:56:34,58.8053,-122.7002,45.99,61,75,12.66
138,Shingu,JP,2022-05-11 21:56:35,33.7333,135.9833,65.95,88,100,8.21
139,Havre,FR,2022-05-11 21:56:35,49.5833,0.3333,55.17,76,0,12.66
140,Vila Velha,BR,2022-05-11 21:56:36,-20.3297,-40.2925,76.95,78,0,10.36
141,Bridgetown,BB,2022-05-11 21:55:46,13.1,-59.6167,82.89,74,40,17.27
142,Tambovka,RU,2022-05-11 21:56:37,50.0969,128.0489,41.14,77,93,1.79
143,Ziarat,PK,2022-05-11 21:56:38,30.3823,67.7282,63.28,14,0,6.26
144,Worthing,GB,2022-05-11 21:56:38,50.8145,-0.3713,54.45,82,1,1.99
145,Ler,SS,2022-05-11 21:56:39,8.3018,30.1418,82.33,61,94,3.56
146,Chuy,UY,2022-05-11 21:56:39,-33.6971,-53.4616,59.95,60,100,11.92
147,Bambanglipuro,ID,2022-05-11 21:56:40,-7.95,110.2833,77.27,91,82,1.81
148,Bilma,NE,2022-05-11 21:56:41,18.6853,12.9164,94.3,15,54,9.51
149,Keetmanshoop,NA,2022-05-11 21:56:41,-26.5833,18.1333,60.33,18,0,2.19
150,Oudtshoorn,ZA,2022-05-11 21:56:42,-33.5907,22.2014,48.56,86,0,1.36
151,Mangan,IN,2022-05-11 21:56:43,27.5167,88.5333,70.88,87,77,1.74
152,Fortuna,US,2022-05-11 21:56:43,40.5982,-124.1573,60.85,64,100,6.91
153,Denpasar,ID,2022-05-11 21:56:44,-8.65,115.2167,80.26,94,40,3.44
154,College,US,2022-05-11 21:56:31,64.8569,-147.8028,50.0,44,40,4.0
155,Jieshi,CN,2022-05-11 21:56:45,22.8134,115.8257,75.94,96,100,6.33
156,Buguruslan,RU,2022-05-11 21:56:45,53.6554,52.442,42.78,78,51,12.71
157,Birao,CF,2022-05-11 21:56:46,10.2849,22.7882,86.85,40,100,4.68
