City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,82.06,39,7,6.55,clear sky
70,La Ronge,CA,55.1001,-105.2842,44.29,66,100,12.64,overcast clouds
71,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
72,Unguia,CO,8.0434,-77.0945,80.47,91,97,1.12,overcast clouds
73,Hambantota,LK,6.1241,81.1185,77.34,100,75,11.5,broken clouds
74,Jamestown,US,42.097,-79.2353,77.02,57,0,10.36,clear sky
75,Upata,VE,8.0086,-62.3989,84.2,48,71,8.99,broken clouds
76,Constitucion,CL,-35.3333,-72.4167,58.91,68,6,9.4,clear sky
77,Provideniya,RU,64.3833,-173.3,32.32,79,7,3.33,clear sky
78,Sydney Mines,CA,46.2367,-60.2177,65.26,48,100,1.99,overcast clouds
79,Shenjiamen,CN,29.9576,122.298,60.84,72,100,14.65,overcast clouds
80,Cap Malheureux,MU,-19.9842,57.6142,71.47,74,23,1.01,few clouds
81,Bredasdorp,ZA,-34.5322,20.0403,59.54,62,50,15.21,scattered clouds
82,Meulaboh,ID,4.1363,96.1285,79.74,84,94,3.4,overcast clouds
83,Hithadhoo,MV,-0.6,73.0833,83.19,70,38,6.55,scattered clouds
84,Yarkovo,RU,57.4028,67.0786,60.85,48,99,11.21,overcast clouds
85,Melfi,IT,40.9965,15.6514,75.76,45,0,6.08,clear sky
86,Fortuna,US,40.5982,-124.1573,55.74,94,0,11.5,clear sky
87,Tuktoyaktuk,CA,69.4541,-133.0374,33.51,91,100,4.88,overcast clouds
88,Hermanus,ZA,-34.4187,19.2345,61.81,72,55,12.26,broken clouds
89,Serrinha,BR,-11.6642,-39.0075,88.29,38,3,8.95,clear sky
90,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,65,3.0,broken clouds
91,Kodiak,US,57.79,-152.4072,45.91,61,0,24.16,clear sky
92,Dunda,TZ,-8.1167,34.25,74.3,53,87,7.96,overcast clouds
93,Ambilobe,MG,-13.2,49.05,74.44,80,22,2.82,few clouds
94,Port Alfred,ZA,-33.5906,26.891,62.19,80,6,3.0,clear sky
95,Vila Velha,BR,-20.3297,-40.2925,80.55,61,40,16.11,scattered clouds
96,Juneau,US,58.3019,-134.4197,46.98,90,61,2.3,broken clouds
97,Kapaa,US,22.0752,-159.319,73.72,86,0,14.97,clear sky
98,Lompoc,US,34.6391,-120.4579,75.56,35,0,17.0,clear sky
99,Porbandar,IN,21.6422,69.6093,84.25,81,6,15.39,clear sky
100,Ilulissat,GL,69.2167,-51.1,24.82,80,75,16.11,light snow
101,Vista Hermosa,MX,19.5167,-99.2167,69.55,38,75,0.0,broken clouds
102,Lofthus,NO,59.9468,10.8018,55.96,78,98,12.41,light rain
103,Shunyi,CN,40.125,116.6453,49.95,57,0,2.24,clear sky
104,Mabaruma,GY,8.2,-59.7833,81.25,85,79,7.05,broken clouds
105,Sobolevo,RU,54.4299,31.8996,53.37,74,94,14.03,light rain
106,Hamada,JP,34.8833,132.0833,60.78,97,100,9.08,light rain
107,Sabha,LY,27.0377,14.4283,80.04,19,0,12.1,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,64.31,75,10,7.0,clear sky
109,Jawhar,SO,2.7809,45.5005,80.83,75,93,16.49,overcast clouds
110,Roald,NO,62.5833,6.1333,46.54,76,40,17.27,scattered clouds
111,Hami,CN,42.8,93.45,63.75,8,45,11.52,scattered clouds
112,Pietarsaari,FI,63.65,22.6833,55.53,66,13,12.35,few clouds
113,Kenai,US,60.5544,-151.2583,41.02,92,100,21.85,moderate rain
114,Diamantina,BR,-18.2494,-43.6003,78.13,40,39,0.6,scattered clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,20,8.05,few clouds
116,Verkhnyaya Inta,RU,65.9811,60.3094,51.55,73,64,7.85,broken clouds
117,Saint-Pierre,RE,-21.3393,55.4781,71.91,68,0,6.91,clear sky
118,Biak,ID,-0.9131,122.8766,76.32,85,100,1.01,overcast clouds
119,Marzuq,YE,14.4,46.4667,84.22,13,17,4.36,few clouds
120,Zyryanka,RU,65.75,150.85,34.88,80,16,10.85,few clouds
121,San Cristobal,VE,7.7669,-72.225,75.38,47,60,8.97,broken clouds
122,Loiza,PR,18.4313,-65.8802,86.0,88,100,10.36,overcast clouds
123,Touros,BR,-5.1989,-35.4608,78.35,88,96,12.19,light rain
124,Sabang,ID,5.8933,95.3214,84.0,78,100,13.4,overcast clouds
125,Tessalit,ML,20.1986,1.0114,101.12,4,6,15.46,clear sky
126,Bandipur,NP,27.9333,84.4167,72.66,64,75,3.94,broken clouds
127,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,46,0,8.05,clear sky
128,Blumenau,BR,-26.9194,-49.0661,73.08,69,95,3.0,overcast clouds
129,Beira,MZ,-19.8436,34.8389,73.49,83,20,4.61,few clouds
130,Samana,DO,19.2056,-69.3369,84.16,89,40,17.27,scattered clouds
131,Porirua,NZ,-41.1333,174.85,60.55,74,76,24.29,broken clouds
132,Cherskiy,RU,68.75,161.3,29.98,77,26,11.05,scattered clouds
133,Thinadhoo,MV,0.5333,72.9333,83.43,68,59,10.58,broken clouds
134,Lazaro Cardenas,MX,17.9583,-102.2,87.78,51,100,2.33,overcast clouds
135,San Vicente De Canete,PE,-13.0751,-76.3835,70.0,72,40,5.86,scattered clouds
