City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
381,Kalabo,ZM,72.9,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
387,Epernay,FR,70.88,clear sky,49.05,3.95,ibis Épernay Centre-Ville
388,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
392,Sibolga,ID,78.37,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
400,Sibiti,CG,76.1,moderate rain,-3.6819,13.3499,Gaby et confort
406,Nuevo Ideal,MX,77.61,clear sky,24.8875,-105.0728,Hotel Las Águilas
407,Ponta Do Sol,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
412,Padang,ID,78.66,broken clouds,-0.9492,100.3543,Mercure Padang
430,Tura,IN,73.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
435,Pampa,US,75.24,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
436,Kathmandu,NP,75.42,drizzle,27.7167,85.3167,Hotel Shanker Kathmandu
447,Namatanai,PG,78.82,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
448,Luanda,AO,78.62,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
449,Victoria,HK,77.95,light rain,22.2855,114.1577,Mini Central
450,Lalibela,ET,72.03,clear sky,12.0333,39.0333,Honey Land Hotel Lalibela
454,Dingle,PH,79.29,few clouds,10.9995,122.6711,SEGAYA PROPERTY
470,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
471,Raub,MY,76.17,overcast clouds,3.7899,101.857,Daniels Guest House Raub
472,Seydi,TM,76.23,overcast clouds,39.4816,62.9137,Seydi oteli
489,Arua,UG,74.57,overcast clouds,3.0201,30.9111,Golden Courts Hotel
500,Menongue,AO,73.02,clear sky,-14.6585,17.691,Ritz Lauca
501,Sansepolcro,IT,78.3,few clouds,43.5747,12.143,Albergo Fiorentino
502,Suluq,LY,72.07,scattered clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
503,Dawlatabad,AF,76.89,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
511,Russell,US,74.97,broken clouds,32.3502,-85.1999,Macs
514,Katobu,ID,76.05,broken clouds,-4.9408,122.5276,La Ode Husein
515,Port Hawkesbury,CA,70.92,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
529,Luang Prabang,LA,74.39,scattered clouds,19.8856,102.1347,The Apsara
530,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
534,Santiago,CL,70.99,haze,-33.4569,-70.6483,Hotel Panamericano
540,Blythe,US,79.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
552,Bitung,ID,79.65,light rain,1.4451,125.1824,K2 Lembeh
553,Natal,BR,79.45,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
554,Lahat,ID,76.73,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
561,Mackay,AU,71.69,clear sky,-21.15,149.2,International Lodge Motel
563,Wadi Musa,JO,78.55,clear sky,30.3222,35.4793,Petra Palace Hotel
568,Cairns,AU,71.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
569,Oyem,GA,78.19,light rain,1.5995,11.5793,Commissariat de police
573,Sampit,ID,75.2,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
575,Palamos,ES,76.98,scattered clouds,41.8484,3.1291,Hotel Rosamar
576,Senneterre,CA,77.65,broken clouds,48.3835,-77.2328,Motel Senabi
581,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
586,Naze,JP,70.72,light rain,28.3667,129.4833,Shishime Hotel
588,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
597,Huron,US,78.78,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
602,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
604,Shawnee,US,72.84,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
610,Levelland,US,79.2,clear sky,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
612,Saint-Joseph,RE,70.18,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
615,San Vicente,AR,73.18,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
621,Mount Vernon,US,74.14,overcast clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
626,Komarno,SK,73.56,overcast clouds,47.7636,18.1226,Hotel Bow Garden
628,Kazerun,IR,76.28,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
632,Kununurra,AU,71.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
635,Nueva Loja,EC,78.82,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
638,Corrales,US,73.81,clear sky,35.2378,-106.6067,Quality Inn
639,Pangkalanbuun,ID,77.31,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
641,Boa Vista,BR,78.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
655,Ashland,US,77.97,broken clouds,40.8167,-82.2665,SureStay
656,Hasaki,JP,72.28,heavy intensity rain,35.7333,140.8333,Inubosaki Kanko Hotel
662,Tarata,BO,72.68,clear sky,-17.6167,-66.0167,Hacienda castillo
664,Kokopo,PG,78.21,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
666,Buala,SB,79.18,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
673,Tuy Hoa,VN,79.32,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
677,Taitung,TW,78.98,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
684,Monze,ZM,70.45,broken clouds,-16.2833,27.4833,Fay terry lodge
689,Korla,CN,70.39,overcast clouds,41.7597,86.1469,Gulisitan Hotel
691,Durban,ZA,70.92,scattered clouds,-29.8579,31.0292,Hilton Durban
693,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
706,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
707,Letlhakeng,BW,72.07,scattered clouds,-24.0944,25.0298,fenugreek
708,Susice,CZ,70.43,overcast clouds,49.2311,13.5202,Sport Hotel Pekarna
711,Cockburn Town,TC,79.0,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
715,Roma,US,79.72,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
716,Hirara,JP,76.48,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
